=== Autosave ===
Buffer entries: 99 / 1000

Tick: 1 | Agents: 5 | Avg Energy: 0.97 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 2 | Agents: 5 | Avg Energy: 0.94 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 3 | Agents: 5 | Avg Energy: 0.91 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 4 | Agents: 5 | Avg Energy: 0.98 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 5 | Agents: 5 | Avg Energy: 0.95 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 6 | Agents: 5 | Avg Energy: 0.92 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 7 | Agents: 5 | Avg Energy: 0.89 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 8 | Agents: 5 | Avg Energy: 0.86 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 9 | Agents: 5 | Avg Energy: 0.83 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 10 | Agents: 5 | Avg Energy: 0.8 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 11 | Agents: 5 | Avg Energy: 0.77 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 12 | Agents: 5 | Avg Energy: 0.74 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 13 | Agents: 5 | Avg Energy: 0.71 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 14 | Agents: 5 | Avg Energy: 0.68 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 15 | Agents: 5 | Avg Energy: 0.65 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 16 | Agents: 5 | Avg Energy: 0.62 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 17 | Agents: 5 | Avg Energy: 0.59 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 18 | Agents: 5 | Avg Energy: 0.56 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 19 | Agents: 5 | Avg Energy: 0.98 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 20 | Agents: 5 | Avg Energy: 0.98 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 21 | Agents: 5 | Avg Energy: 0.95 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 22 | Agents: 5 | Avg Energy: 0.92 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 23 | Agents: 5 | Avg Energy: 0.89 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 24 | Agents: 5 | Avg Energy: 0.86 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 25 | Agents: 5 | Avg Energy: 0.98 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 26 | Agents: 5 | Avg Energy: 0.98 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 27 | Agents: 5 | Avg Energy: 0.95 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 28 | Agents: 5 | Avg Energy: 0.92 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 29 | Agents: 5 | Avg Energy: 0.89 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 30 | Agents: 5 | Avg Energy: 0.86 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 31 | Agents: 5 | Avg Energy: 0.83 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 32 | Agents: 5 | Avg Energy: 0.8 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 33 | Agents: 5 | Avg Energy: 0.77 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 34 | Agents: 5 | Avg Energy: 0.74 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 35 | Agents: 5 | Avg Energy: 0.71 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 36 | Agents: 5 | Avg Energy: 0.98 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 37 | Agents: 5 | Avg Energy: 0.95 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 38 | Agents: 5 | Avg Energy: 0.92 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 39 | Agents: 5 | Avg Energy: 0.89 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 40 | Agents: 5 | Avg Energy: 0.86 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 41 | Agents: 5 | Avg Energy: 0.83 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 42 | Agents: 5 | Avg Energy: 0.8 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 43 | Agents: 5 | Avg Energy: 0.77 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 44 | Agents: 5 | Avg Energy: 0.74 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 45 | Agents: 5 | Avg Energy: 0.71 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 46 | Agents: 5 | Avg Energy: 0.68 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 47 | Agents: 5 | Avg Energy: 0.65 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 48 | Agents: 5 | Avg Energy: 0.62 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 49 | Agents: 5 | Avg Energy: 0.59 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 50 | Agents: 5 | Avg Energy: 0.56 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 51 | Agents: 5 | Avg Energy: 0.53 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 52 | Agents: 5 | Avg Energy: 0.98 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 53 | Agents: 5 | Avg Energy: 0.95 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 54 | Agents: 5 | Avg Energy: 0.92 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 55 | Agents: 5 | Avg Energy: 0.89 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 56 | Agents: 5 | Avg Energy: 0.86 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 57 | Agents: 5 | Avg Energy: 0.98 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 58 | Agents: 5 | Avg Energy: 0.98 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 59 | Agents: 5 | Avg Energy: 0.95 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 60 | Agents: 5 | Avg Energy: 0.92 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 61 | Agents: 5 | Avg Energy: 0.89 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 62 | Agents: 5 | Avg Energy: 0.86 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 63 | Agents: 5 | Avg Energy: 0.83 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 64 | Agents: 5 | Avg Energy: 0.8 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 65 | Agents: 5 | Avg Energy: 0.77 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 66 | Agents: 5 | Avg Energy: 0.74 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 67 | Agents: 5 | Avg Energy: 0.71 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 68 | Agents: 5 | Avg Energy: 0.68 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 69 | Agents: 5 | Avg Energy: 0.65 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 70 | Agents: 5 | Avg Energy: 0.62 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 71 | Agents: 5 | Avg Energy: 0.59 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 72 | Agents: 5 | Avg Energy: 0.56 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 73 | Agents: 5 | Avg Energy: 0.53 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 74 | Agents: 5 | Avg Energy: 0.5 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 75 | Agents: 5 | Avg Energy: 0.47 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 76 | Agents: 5 | Avg Energy: 0.44 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 77 | Agents: 5 | Avg Energy: 0.41 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 78 | Agents: 5 | Avg Energy: 0.38 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 79 | Agents: 5 | Avg Energy: 0.35 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 80 | Agents: 5 | Avg Energy: 0.32 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 81 | Agents: 5 | Avg Energy: 0.29 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 82 | Agents: 5 | Avg Energy: 0.26 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 83 | Agents: 5 | Avg Energy: 0.23 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 84 | Agents: 5 | Avg Energy: 0.36461 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 85 | Agents: 5 | Avg Energy: 0.33461 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 86 | Agents: 5 | Avg Energy: 0.30461 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 87 | Agents: 5 | Avg Energy: 0.27461 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 88 | Agents: 5 | Avg Energy: 0.24461 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 89 | Agents: 5 | Avg Energy: 0.224113 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 90 | Agents: 5 | Avg Energy: 0.194113 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 91 | Agents: 5 | Avg Energy: 0.164113 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 92 | Agents: 5 | Avg Energy: 0.134113 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 93 | Agents: 5 | Avg Energy: 0.104113 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 94 | Agents: 5 | Avg Energy: 0.0741126 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 95 | Agents: 5 | Avg Energy: 0.0441126 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 96 | Agents: 5 | Avg Energy: 0.0141126 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
Tick: 97 | Agents: 5 | Avg Energy: -0.0158874 | Avg Fitness: 0 | Resources: 0 | Total Energy: 0
